Hospital Name,Beds Available,Ventilators Available,ICU Available,Location Type,Emergency Department,Pediatric Care,Specialized Department,Ambulance Services,Year of Establishment
Hospital 33,86,77,87,Rural,Yes,Yes,Neurology,Yes,1974
Hospital 34,164,47,39,Urban,Yes,No,Orthopedics,Yes,2007
Hospital 35,241,29,8,Rural,Yes,Yes,Oncology,No,2003
Hospital 36,187,51,41,Rural,No,Yes,Oncology,No,1987
Hospital 37,37,19,10,Rural,No,Yes,Neurology,Yes,1996
Hospital 38,449,58,59,Urban,No,Yes,Neurology,Yes,2021
Hospital 39,400,8,21,Urban,Yes,No,None,Yes,1988
Hospital 40,276,28,47,Rural,No,Yes,Neurology,Yes,2004
Hospital 41,156,33,47,Urban,Yes,No,Cardiology,Yes,1992
Hospital 42,490,44,56,Rural,Yes,Yes,Cardiology,Yes,1986
Hospital 43,109,8,39,Urban,No,No,Oncology,Yes,1984
Hospital 44,86,32,39,Urban,No,No,Neurology,Yes,1979
Hospital 45,104,1,14,Rural,Yes,No,None,Yes,2018
Hospital 46,238,22,41,Urban,No,No,Cardiology,Yes,2004
Hospital 47,220,43,69,Rural,Yes,Yes,Orthopedics,No,1999
Hospital 48,287,37,89,Rural,Yes,Yes,Orthopedics,No,1956
Hospital 49,37,4,74,Rural,No,Yes,Cardiology,No,2009
Hospital 50,484,74,63,Urban,No,No,General,No,1977
Hospital 51,35,9,3,Urban,No,Yes,Neurology,Yes,1951
Hospital 52,427,74,81,Rural,Yes,No,None,No,1952
Hospital 53,197,46,72,Urban,Yes,No,Neurology,Yes,1990
Hospital 54,69,78,35,Rural,No,Yes,Cardiology,Yes,2021
Hospital 55,344,16,40,Urban,Yes,No,None,No,1982
Hospital 56,273,28,17,Rural,Yes,Yes,None,Yes,2007
Hospital 57,381,47,90,Urban,Yes,No,Neurology,Yes,1963
Hospital 58,374,51,23,Urban,No,No,Cardiology,No,1990
Hospital 59,41,18,63,Rural,Yes,No,Orthopedics,Yes,1957
Hospital 60,326,56,4,Urban,Yes,No,None,No,2019
Hospital 61,41,11,94,Rural,Yes,No,Cardiology,Yes,1985
Hospital 62,233,48,62,Urban,No,Yes,Orthopedics,Yes,1955
Hospital 63,175,75,25,Urban,Yes,Yes,Orthopedics,No,2014
Hospital 64,204,41,43,Urban,Yes,Yes,None,Yes,2001
Hospital 65,103,43,64,Urban,No,Yes,Orthopedics,No,2018
Hospital 66,227,26,57,Rural,Yes,Yes,Cardiology,Yes,2003
Hospital 67,146,17,58,Urban,No,No,General,No,1994
Hospital 68,290,36,27,Urban,Yes,Yes,Cardiology,No,1991
Hospital 69,135,65,85,Rural,Yes,Yes,Orthopedics,Yes,2022
Hospital 70,470,47,13,Urban,No,No,General,No,2012
Hospital 71,495,92,38,Urban,Yes,Yes,General,No,2016
Hospital 72,231,2,79,Rural,No,No,None,Yes,1992
Hospital 73,198,22,100,Urban,Yes,No,General,Yes,1999
Hospital 74,74,23,26,Urban,Yes,Yes,None,Yes,1969
Hospital 75,440,25,9,Rural,No,Yes,Oncology,No,1995
Hospital 76,142,74,38,Rural,Yes,No,Oncology,No,1981
Hospital 77,174,25,15,Rural,No,Yes,Oncology,No,2016
Hospital 78,36,66,62,Rural,Yes,No,Orthopedics,Yes,1971
Hospital 79,179,60,2,Urban,Yes,No,None,No,1964
Hospital 80,383,0,62,Rural,Yes,No,Cardiology,Yes,1970
Hospital 81,295,88,2,Rural,Yes,Yes,General,No,1966
Hospital 82,499,9,46,Urban,No,Yes,Oncology,No,1999
Hospital 83,41,55,25,Urban,Yes,No,Cardiology,Yes,1977
Hospital 84,494,33,29,Urban,Yes,Yes,Neurology,No,1960
Hospital 85,194,96,19,Urban,No,Yes,Oncology,No,1973
Hospital 86,389,14,68,Urban,Yes,No,General,No,1991
Hospital 87,142,85,71,Urban,No,No,Orthopedics,Yes,1973
Hospital 88,281,7,50,Rural,No,No,Orthopedics,No,1995
Hospital 89,114,11,68,Rural,No,Yes,None,Yes,2018
Hospital 90,213,48,36,Urban,No,No,Oncology,No,1969
Hospital 91,182,34,80,Rural,No,Yes,Cardiology,No,1965
Hospital 92,47,62,94,Rural,Yes,No,Orthopedics,Yes,1970
Hospital 93,270,65,40,Urban,Yes,No,General,Yes,1960
Hospital 94,389,88,79,Rural,No,Yes,Cardiology,No,1998
Hospital 95,351,98,44,Rural,No,No,General,Yes,2007
Hospital 96,102,15,58,Urban,No,No,Neurology,Yes,2012
Hospital 97,34,43,19,Urban,No,Yes,Neurology,Yes,2005
Hospital 98,422,12,45,Rural,No,No,Oncology,Yes,1967
Hospital 99,382,66,9,Rural,No,No,Neurology,Yes,1968
Hospital 100,21,8,2,Rural,No,No,Cardiology,Yes,1952
Hospital 101,342,49,97,Rural,No,No,Orthopedics,Yes,2023
Hospital 102,304,13,6,Urban,No,Yes,Oncology,Yes,1953
Hospital 103,249,74,100,Rural,Yes,No,General,Yes,1988
Hospital 104,408,61,93,Urban,Yes,No,None,Yes,1981
Hospital 105,346,20,31,Urban,No,Yes,General,No,1967
Hospital 106,413,23,47,Urban,Yes,Yes,None,No,1958
Hospital 107,137,91,57,Rural,No,Yes,Cardiology,No,1973
Hospital 108,426,28,87,Rural,Yes,Yes,Orthopedics,Yes,1981
Hospital 109,91,97,76,Rural,Yes,Yes,General,No,1977
Hospital 110,262,13,12,Urban,No,Yes,General,No,1990
Hospital 111,430,61,59,Urban,Yes,No,General,Yes,1956
Hospital 112,177,3,63,Urban,Yes,No,General,Yes,2004
Hospital 113,347,30,30,Urban,Yes,Yes,None,No,2014
Hospital 114,102,15,43,Rural,Yes,Yes,Neurology,Yes,1963
Hospital 115,125,54,35,Urban,No,Yes,None,Yes,1997
Hospital 116,355,32,6,Rural,Yes,Yes,General,Yes,2012
Hospital 117,184,67,33,Rural,Yes,No,Orthopedics,No,1956
Hospital 118,258,28,88,Rural,No,No,Orthopedics,Yes,1975
Hospital 119,199,31,0,Urban,Yes,Yes,Cardiology,No,1957
Hospital 120,452,0,8,Urban,No,Yes,General,Yes,2015
Hospital 121,88,14,11,Urban,Yes,Yes,Orthopedics,Yes,1995
Hospital 122,285,76,41,Rural,No,Yes,None,Yes,1974
Hospital 123,306,92,76,Rural,No,No,Neurology,No,1964
Hospital 124,369,86,35,Urban,Yes,Yes,Cardiology,Yes,1988
Hospital 125,450,92,89,Rural,No,No,General,No,2003
Hospital 126,303,23,7,Urban,Yes,Yes,Oncology,No,1984
Hospital 127,171,75,78,Rural,No,No,General,Yes,1958
Hospital 128,470,62,99,Rural,Yes,No,None,No,1987
Hospital 129,225,67,3,Rural,Yes,No,Cardiology,No,1991
Hospital 130,424,43,11,Rural,Yes,Yes,Cardiology,Yes,2003
Hospital 131,131,71,28,Rural,No,No,Cardiology,No,1995
Hospital 132,482,31,8,Rural,Yes,No,None,No,1982
Hospital 133,275,54,85,Rural,No,Yes,None,No,1966
Hospital 134,214,63,34,Urban,No,No,General,No,1959
Hospital 135,257,98,73,Urban,Yes,Yes,Neurology,No,1995
Hospital 136,447,74,52,Urban,No,Yes,Neurology,No,1986
Hospital 137,323,37,39,Urban,Yes,Yes,Orthopedics,No,2023
Hospital 138,136,6,61,Rural,No,No,Cardiology,No,2017
Hospital 139,212,85,57,Urban,Yes,No,Orthopedics,No,2015
Hospital 140,330,29,94,Rural,Yes,No,Cardiology,No,2010
Hospital 141,185,31,93,Rural,No,No,Neurology,Yes,1957
Hospital 142,247,12,87,Urban,Yes,No,None,No,2021
Hospital 143,415,21,16,Urban,No,No,Neurology,Yes,1959
Hospital 144,440,72,86,Rural,No,No,Orthopedics,No,1971
Hospital 145,25,22,8,Rural,Yes,No,Oncology,No,1959
Hospital 146,93,49,92,Rural,Yes,No,Neurology,Yes,1994
Hospital 147,61,52,85,Urban,No,Yes,None,No,2021
Hospital 148,142,54,95,Rural,No,No,None,No,1956
Hospital 149,378,49,37,Urban,Yes,No,Cardiology,Yes,2020
Hospital 150,170,7,91,Urban,Yes,No,Neurology,Yes,1956
Hospital 151,190,88,80,Rural,Yes,No,Oncology,Yes,2004
Hospital 152,234,22,54,Rural,No,Yes,None,No,1999
Hospital 153,254,7,6,Urban,No,No,Oncology,No,2011
Hospital 154,492,90,2,Urban,Yes,No,General,No,1971
Hospital 155,383,66,34,Urban,No,Yes,Oncology,No,1952
Hospital 156,98,27,17,Urban,No,No,None,Yes,2016
Hospital 157,39,75,3,Urban,Yes,No,None,No,2010
Hospital 158,345,36,20,Urban,Yes,Yes,Oncology,No,2015
Hospital 159,325,92,20,Rural,Yes,No,Orthopedics,No,1996
Hospital 160,408,57,31,Urban,No,No,Cardiology,No,1961
Hospital 161,84,11,93,Rural,Yes,Yes,General,No,2017
Hospital 162,66,28,100,Urban,No,Yes,Cardiology,No,2012
Hospital 163,411,98,44,Urban,No,Yes,Orthopedics,No,1998
Hospital 164,82,89,82,Urban,No,No,Oncology,No,1977
Hospital 165,370,40,84,Urban,No,No,General,No,1957
Hospital 166,407,97,40,Urban,No,Yes,Oncology,Yes,1973
Hospital 167,31,45,19,Rural,No,No,None,Yes,1978
Hospital 168,461,78,97,Rural,Yes,No,Orthopedics,No,2019
Hospital 169,354,22,29,Rural,No,No,Orthopedics,No,2018
Hospital 170,428,46,71,Urban,Yes,Yes,None,No,1956
Hospital 171,296,35,64,Urban,Yes,Yes,General,Yes,2002
Hospital 172,464,78,18,Rural,Yes,Yes,Oncology,No,2013
Hospital 173,246,11,65,Rural,Yes,No,None,No,1953
Hospital 174,20,37,17,Urban,No,Yes,Neurology,Yes,1950
Hospital 175,297,63,75,Urban,Yes,Yes,General,Yes,1993
Hospital 176,318,14,63,Rural,No,Yes,Oncology,No,2018
Hospital 177,490,88,57,Rural,Yes,No,Neurology,Yes,2002
Hospital 178,213,52,27,Urban,Yes,Yes,Orthopedics,No,1996
Hospital 179,374,52,97,Urban,Yes,No,Orthopedics,No,1992
Hospital 180,420,40,77,Rural,Yes,Yes,None,No,2021
Hospital 181,370,87,2,Urban,Yes,No,Oncology,No,1957
Hospital 182,36,59,34,Urban,No,Yes,General,No,1964
Hospital 183,27,80,17,Urban,Yes,No,Cardiology,No,2004
Hospital 184,207,26,12,Urban,Yes,No,Cardiology,Yes,2016
Hospital 185,369,66,12,Urban,Yes,Yes,Oncology,Yes,2002
Hospital 186,353,60,87,Urban,Yes,Yes,Cardiology,No,1961
Hospital 187,356,32,15,Urban,No,Yes,None,No,1976
Hospital 188,156,25,96,Rural,No,No,Orthopedics,No,2002
Hospital 189,124,73,76,Urban,No,Yes,Oncology,Yes,2015
Hospital 190,398,38,31,Urban,No,No,Cardiology,Yes,2006
Hospital 191,461,95,9,Rural,No,No,None,No,1950
Hospital 192,70,5,2,Urban,No,Yes,Oncology,Yes,2015
Hospital 193,136,65,90,Rural,No,Yes,Orthopedics,Yes,2013
Hospital 194,47,41,1,Urban,Yes,No,Cardiology,No,1976
Hospital 195,282,94,49,Urban,Yes,No,Orthopedics,No,2006
Hospital 196,445,9,9,Rural,Yes,No,None,No,1951
Hospital 197,131,72,44,Urban,No,No,Orthopedics,Yes,2019
Hospital 198,87,87,98,Rural,Yes,Yes,Oncology,No,2014
Hospital 199,57,9,43,Rural,Yes,No,Orthopedics,No,1959
Hospital 200,88,29,43,Urban,Yes,Yes,Orthopedics,Yes,2007
Hospital 201,500,14,31,Urban,No,No,Neurology,No,2018
Hospital 202,27,95,34,Urban,Yes,No,Oncology,Yes,1982
Hospital 203,41,87,28,Urban,Yes,No,Cardiology,Yes,1964
Hospital 204,424,25,10,Rural,Yes,No,Orthopedics,No,1993
Hospital 205,44,8,13,Urban,Yes,Yes,Oncology,Yes,1978
Hospital 206,382,56,99,Urban,No,Yes,General,Yes,1994
Hospital 207,145,94,34,Urban,Yes,Yes,General,No,1970
Hospital 208,436,38,50,Rural,Yes,No,General,No,1953
Hospital 209,174,62,8,Urban,Yes,No,Cardiology,No,1951
Hospital 210,82,39,82,Rural,Yes,No,General,No,1970
Hospital 211,183,81,35,Urban,No,Yes,Orthopedics,No,1998
Hospital 212,190,13,57,Rural,Yes,No,None,No,2013
Hospital 213,37,37,60,Rural,Yes,Yes,Cardiology,No,2020
Hospital 214,75,16,68,Rural,No,No,Neurology,Yes,1999
Hospital 215,29,39,59,Urban,No,No,Oncology,No,1952
Hospital 216,438,86,40,Urban,No,No,Neurology,No,1953
Hospital 217,358,25,74,Rural,Yes,No,Cardiology,Yes,2003
Hospital 218,354,1,29,Rural,Yes,No,General,No,2021
Hospital 219,353,30,94,Rural,Yes,No,Neurology,Yes,2000
Hospital 220,336,98,43,Rural,No,Yes,None,Yes,1979
Hospital 221,239,30,42,Urban,Yes,Yes,Cardiology,No,1955
Hospital 222,241,92,13,Rural,Yes,No,None,No,1966
Hospital 223,56,12,36,Urban,Yes,No,Cardiology,Yes,1970
Hospital 224,279,21,91,Rural,Yes,Yes,Oncology,No,1954
Hospital 225,24,81,37,Urban,Yes,No,General,No,2018
Hospital 226,465,88,73,Rural,Yes,No,Cardiology,No,2002
Hospital 227,277,42,8,Rural,No,Yes,None,No,2017
Hospital 228,42,15,80,Rural,No,No,Cardiology,Yes,2016
Hospital 229,471,92,50,Rural,Yes,No,General,Yes,1968
Hospital 230,297,90,7,Urban,No,No,Cardiology,No,1971
Hospital 231,344,7,10,Rural,No,No,Neurology,No,1996
Hospital 232,144,30,28,Rural,Yes,No,General,Yes,2018
Hospital 233,422,59,45,Rural,Yes,Yes,None,Yes,1982
Hospital 234,474,49,92,Rural,Yes,No,Cardiology,Yes,2007
Hospital 235,422,64,29,Urban,Yes,Yes,Neurology,Yes,2022
Hospital 236,61,40,16,Urban,Yes,No,Oncology,No,2003
Hospital 237,200,38,13,Urban,No,No,Cardiology,No,1980
Hospital 238,199,85,59,Rural,No,No,Neurology,Yes,1983
Hospital 239,455,54,41,Urban,Yes,Yes,Oncology,Yes,1968
Hospital 240,472,47,62,Urban,No,Yes,Orthopedics,No,1975
Hospital 241,148,4,29,Rural,No,Yes,General,No,2023
Hospital 242,420,70,40,Urban,No,No,Orthopedics,Yes,1973
Hospital 243,441,98,53,Urban,No,No,Neurology,Yes,2007
Hospital 244,274,82,98,Rural,No,No,Oncology,No,1992
Hospital 245,312,33,36,Rural,No,No,Oncology,No,1966
Hospital 246,215,5,88,Urban,No,No,Neurology,No,1974
Hospital 247,240,100,97,Urban,No,Yes,Neurology,Yes,1977
Hospital 248,350,32,54,Rural,Yes,Yes,Neurology,No,1970
Hospital 249,295,11,88,Rural,Yes,No,Oncology,No,2002
Hospital 250,460,14,19,Rural,Yes,No,Neurology,No,1968
Hospital 251,146,75,98,Rural,No,No,Cardiology,Yes,1975
Hospital 252,308,39,28,Rural,No,No,Neurology,No,1971
Hospital 253,390,65,14,Urban,No,Yes,None,No,2016
Hospital 254,126,28,88,Rural,Yes,No,Oncology,Yes,1967
Hospital 255,52,90,34,Rural,Yes,Yes,Oncology,Yes,1966
Hospital 256,203,77,8,Rural,Yes,No,Cardiology,No,1999
Hospital 257,447,18,64,Rural,Yes,No,Orthopedics,Yes,2019
Hospital 258,402,89,29,Rural,Yes,No,Orthopedics,Yes,1986
Hospital 259,34,39,98,Urban,Yes,Yes,Oncology,Yes,2001
Hospital 260,117,97,35,Rural,Yes,Yes,None,No,1960
Hospital 261,126,16,15,Rural,Yes,No,Cardiology,No,2014
Hospital 262,409,23,100,Rural,Yes,Yes,Oncology,No,1968
Hospital 263,417,5,16,Rural,No,No,None,No,1980
Hospital 264,444,16,39,Rural,No,No,Orthopedics,Yes,1985
Hospital 265,249,6,30,Rural,Yes,No,General,No,1979
Hospital 266,281,31,81,Rural,No,No,Oncology,Yes,1987
Hospital 267,143,55,18,Rural,No,Yes,General,No,1964
Hospital 268,65,5,81,Urban,No,No,Orthopedics,No,1974
Hospital 269,175,80,97,Rural,No,Yes,Neurology,No,1999
Hospital 270,333,72,44,Rural,No,Yes,General,Yes,1967
Hospital 271,145,57,28,Urban,No,No,Orthopedics,No,2021
Hospital 272,201,34,35,Rural,Yes,Yes,Neurology,Yes,1976
Hospital 273,403,96,42,Rural,Yes,No,Neurology,Yes,2001
Hospital 274,95,18,43,Rural,Yes,No,None,Yes,1967
Hospital 275,450,53,45,Urban,No,No,Neurology,Yes,2000
Hospital 276,318,93,77,Rural,Yes,No,Neurology,Yes,1967
Hospital 277,346,20,62,Rural,No,No,General,Yes,2013
Hospital 278,149,94,69,Urban,Yes,No,None,Yes,2019
Hospital 279,208,12,6,Urban,No,No,General,No,2006
Hospital 280,219,13,72,Rural,Yes,Yes,None,Yes,1966
Hospital 281,292,46,84,Rural,No,No,None,Yes,1960
Hospital 282,412,97,84,Rural,Yes,No,General,No,2019
Hospital 283,325,14,26,Rural,No,Yes,None,Yes,2012
Hospital 284,147,58,70,Rural,No,Yes,Neurology,Yes,1989
Hospital 285,495,57,68,Urban,No,No,General,No,1994
Hospital 286,327,4,13,Rural,Yes,Yes,Cardiology,No,1971
Hospital 287,61,86,66,Rural,Yes,Yes,None,Yes,2014
Hospital 288,362,62,42,Urban,No,Yes,Cardiology,Yes,1957
Hospital 289,262,96,86,Urban,No,Yes,Cardiology,No,1963
Hospital 290,233,76,32,Urban,Yes,Yes,Neurology,No,2005
Hospital 291,388,58,41,Rural,Yes,Yes,General,Yes,1976
Hospital 292,200,77,71,Urban,Yes,No,General,Yes,1994
Hospital 293,97,54,31,Rural,Yes,No,General,No,1965
Hospital 294,178,18,57,Rural,No,No,Cardiology,No,1973
Hospital 295,486,9,76,Urban,No,No,General,Yes,1952
Hospital 296,364,57,92,Rural,No,Yes,None,No,1952
Hospital 297,500,44,0,Rural,No,No,None,No,2017
Hospital 298,101,87,7,Rural,No,No,None,No,1960
Hospital 299,175,96,74,Rural,No,Yes,Oncology,Yes,2006
Hospital 300,75,62,33,Rural,No,Yes,Cardiology,No,2022
Hospital 301,63,65,30,Urban,Yes,No,Cardiology,No,1963
Hospital 302,271,34,96,Urban,No,Yes,Orthopedics,No,2008
Hospital 303,384,86,61,Urban,Yes,No,Oncology,No,1992
Hospital 304,277,67,26,Urban,Yes,No,General,No,2014
Hospital 305,119,90,88,Rural,No,Yes,None,No,1968
Hospital 306,28,79,95,Rural,No,Yes,Oncology,Yes,1980
Hospital 307,167,1,85,Rural,No,No,Neurology,Yes,1990
Hospital 308,341,78,60,Urban,No,Yes,Cardiology,Yes,1991
Hospital 309,379,58,14,Rural,Yes,Yes,None,Yes,1958
Hospital 310,451,0,92,Rural,No,Yes,General,No,2009
Hospital 311,217,42,53,Rural,Yes,No,Cardiology,Yes,2000
Hospital 312,433,84,48,Urban,Yes,No,Cardiology,Yes,2013
Hospital 313,243,58,26,Urban,Yes,No,General,No,1966
Hospital 314,385,18,82,Urban,No,No,Orthopedics,Yes,2018
Hospital 315,217,82,13,Urban,No,Yes,Cardiology,No,1983
Hospital 316,304,78,52,Rural,Yes,No,Cardiology,No,2009
Hospital 317,172,24,88,Urban,Yes,Yes,General,No,2008
Hospital 318,21,63,92,Urban,No,Yes,Neurology,No,1962
Hospital 319,383,54,69,Rural,No,No,Neurology,No,1958
Hospital 320,471,21,53,Urban,Yes,Yes,Oncology,No,1968
Hospital 321,482,42,75,Urban,Yes,No,Neurology,No,1973
Hospital 322,311,0,59,Urban,Yes,Yes,None,No,1973
Hospital 323,255,44,84,Urban,Yes,Yes,Oncology,No,1966
Hospital 324,88,17,13,Urban,Yes,No,Oncology,No,1988
Hospital 325,383,84,91,Urban,No,Yes,General,Yes,1967
Hospital 326,219,29,19,Rural,Yes,No,Cardiology,Yes,1958
Hospital 327,24,38,16,Urban,Yes,No,General,No,1998
Hospital 328,203,41,30,Urban,Yes,Yes,None,No,2002
Hospital 329,227,28,84,Urban,Yes,No,General,Yes,2009
Hospital 330,251,78,11,Rural,Yes,Yes,Orthopedics,No,1975
Hospital 331,434,41,25,Rural,Yes,No,Oncology,No,2006
Hospital 332,252,20,16,Rural,No,Yes,Oncology,No,1975
Hospital 333,351,1,83,Urban,Yes,No,Cardiology,No,2017
Hospital 334,412,14,68,Urban,No,No,Orthopedics,Yes,1961
Hospital 335,42,31,31,Urban,Yes,Yes,Neurology,Yes,2009
Hospital 336,214,94,62,Urban,Yes,Yes,None,No,2006
Hospital 337,410,92,5,Rural,Yes,No,Oncology,No,2005
Hospital 338,35,36,6,Rural,No,Yes,General,Yes,2023
Hospital 339,206,40,68,Urban,Yes,Yes,General,Yes,2008
Hospital 340,20,53,52,Urban,No,No,Cardiology,No,2018
Hospital 341,346,93,51,Urban,No,No,Orthopedics,Yes,1982
Hospital 342,181,25,84,Urban,Yes,No,General,Yes,2012
Hospital 343,454,15,20,Urban,Yes,No,Cardiology,Yes,1954
Hospital 344,94,77,20,Urban,No,No,None,No,1979
Hospital 345,264,7,2,Urban,No,Yes,Orthopedics,No,1955
Hospital 346,214,94,61,Rural,No,No,None,No,1963
Hospital 347,49,22,35,Rural,Yes,No,Orthopedics,Yes,1960
Hospital 348,423,56,59,Urban,Yes,Yes,Orthopedics,Yes,1989
Hospital 349,131,99,88,Rural,No,No,General,Yes,1962
Hospital 350,95,91,21,Rural,No,Yes,Orthopedics,Yes,2016
Hospital 351,300,35,57,Rural,No,No,Orthopedics,Yes,2017
Hospital 352,265,46,72,Rural,Yes,No,Orthopedics,No,1975
Hospital 353,404,20,54,Urban,No,Yes,General,Yes,2007
Hospital 354,263,23,68,Urban,No,Yes,None,No,1960
Hospital 355,456,28,33,Rural,Yes,Yes,Oncology,No,1950
Hospital 356,438,23,82,Rural,Yes,No,General,Yes,1974
Hospital 357,323,91,10,Rural,Yes,No,Cardiology,No,1966
Hospital 358,269,18,36,Rural,Yes,No,Cardiology,Yes,1953
Hospital 359,227,10,71,Urban,Yes,No,Oncology,Yes,2015
Hospital 360,37,80,16,Urban,Yes,No,Neurology,Yes,1980
Hospital 361,89,0,17,Rural,No,No,Oncology,Yes,2013
Hospital 362,65,10,10,Rural,Yes,Yes,Oncology,Yes,2006
Hospital 363,393,57,56,Urban,Yes,No,Oncology,Yes,1966
Hospital 364,368,80,20,Urban,No,No,Neurology,No,1985
Hospital 365,186,22,64,Rural,Yes,No,General,Yes,2009
Hospital 366,236,71,1,Rural,Yes,Yes,None,Yes,2006
Hospital 367,300,2,91,Urban,Yes,No,Cardiology,No,2014
Hospital 368,484,37,52,Rural,Yes,Yes,None,Yes,2021
Hospital 369,163,21,29,Urban,No,No,Oncology,Yes,2011
Hospital 370,328,13,94,Urban,No,Yes,General,Yes,2014
Hospital 371,403,15,38,Rural,No,No,Oncology,No,1953
Hospital 372,232,24,37,Rural,Yes,No,General,Yes,1995
Hospital 373,195,18,80,Urban,Yes,Yes,None,No,1954
Hospital 374,455,33,27,Urban,No,Yes,None,Yes,2018
Hospital 375,383,17,27,Urban,No,No,General,Yes,1990
Hospital 376,368,94,55,Urban,Yes,No,Cardiology,No,1977
Hospital 377,481,51,15,Urban,Yes,Yes,General,Yes,1994
Hospital 378,457,10,60,Rural,Yes,No,General,No,2017
Hospital 379,305,21,12,Urban,No,Yes,General,Yes,1979
Hospital 380,345,74,48,Urban,Yes,Yes,Orthopedics,No,2023
Hospital 381,101,4,2,Rural,No,Yes,General,Yes,1950
Hospital 382,397,64,61,Rural,Yes,Yes,Neurology,No,2013
Hospital 383,320,92,47,Rural,No,Yes,General,Yes,1989
Hospital 384,133,30,43,Urban,Yes,Yes,Oncology,No,1989
Hospital 385,86,95,3,Rural,Yes,Yes,Neurology,Yes,1999
Hospital 386,395,51,24,Urban,No,No,Cardiology,Yes,1951
Hospital 387,471,80,10,Urban,Yes,Yes,Oncology,Yes,1988
Hospital 388,113,15,87,Rural,No,Yes,Neurology,No,1992
Hospital 389,241,16,52,Rural,Yes,No,General,No,1970
Hospital 390,366,47,24,Urban,Yes,Yes,General,No,1987
Hospital 391,106,62,79,Urban,Yes,Yes,Oncology,No,1963
Hospital 392,220,10,59,Rural,Yes,No,Cardiology,Yes,1975
Hospital 393,377,23,24,Rural,No,Yes,Oncology,No,2006
Hospital 394,370,78,100,Rural,Yes,Yes,General,Yes,1953
Hospital 395,230,31,42,Rural,No,No,Oncology,Yes,2010
Hospital 396,123,2,0,Rural,Yes,Yes,Cardiology,No,1977
Hospital 397,37,2,90,Urban,No,No,Oncology,No,1979
Hospital 398,132,16,0,Rural,Yes,Yes,Oncology,Yes,2020
Hospital 399,440,15,86,Rural,Yes,No,Neurology,No,1951
Hospital 400,397,66,43,Rural,Yes,Yes,Orthopedics,No,1979
Hospital 401,59,46,50,Urban,No,No,Cardiology,Yes,1961
Hospital 402,332,71,8,Urban,Yes,Yes,Neurology,No,1971
Hospital 403,215,61,64,Rural,Yes,No,Oncology,No,1965
Hospital 404,93,66,58,Urban,No,Yes,Oncology,No,1990
Hospital 405,197,49,72,Urban,No,Yes,Oncology,No,1976
Hospital 406,51,62,87,Urban,Yes,Yes,Cardiology,No,1974
Hospital 407,207,89,80,Urban,No,No,None,No,1959
Hospital 408,50,93,21,Urban,No,No,Neurology,Yes,2022
Hospital 409,137,70,7,Urban,No,No,General,Yes,1985
Hospital 410,318,36,40,Urban,No,Yes,None,Yes,1985
Hospital 411,498,43,95,Urban,Yes,No,None,No,1994
Hospital 412,61,55,53,Rural,Yes,Yes,Orthopedics,Yes,2013
Hospital 413,149,81,71,Urban,Yes,Yes,Oncology,Yes,1992
Hospital 414,459,17,34,Rural,No,Yes,Neurology,Yes,1981
Hospital 415,483,5,3,Urban,Yes,Yes,Neurology,No,1966
